original_text,cleaned_text,without_stopwords,sentiment
<START> my discovery of the cinema of jan <UNK> opened my eyes to a whole tradition of czech animation of which <UNK> <UNK> was a <UNK> his <UNK> is one of the finest most technically impressive animated movies i've ever seen br br a potter wakes up and waters his plant then he goes about making a pot but in comes the huge hand which crashes the pot and demands that the potter make a statue of itself he casts the hand out but soon it returns and <UNK> him in a bird cage where he's forced to <UNK> a stone hand he sets about it <UNK> from <UNK> but eventually <UNK> the task br br in a marvellous sequence of <UNK> the potter uses a candle to burn his visible puppet strings which keep him in <UNK> and he escapes back home he <UNK> himself in and is accidentally killed by his own beloved plant when it falls on his head br br this movie doesn't hide the fact it's pure animation unlike modern movies that <UNK> to be realistic why the hand for instance is clearly someone's hand in a <UNK> everything else is clay strings are visible and are part of the narrative making it a <UNK> of the movie strings the atmosphere is eerie that hand going after the little potter managed to <UNK> more dread in me than many horror movies combined br br the movie is obvious but it avoids being totally manipulative for its simplicity it's a fable about artistic freedom and <UNK> which can't help winning the heart and mind of anyone who holds freedom as a natural right,my discovery of the cinema of jan opened my eyes to a whole tradition of czech animation of which was a his is one of the finest most technically impressive animated movies i've ever seen br br a potter wakes up and waters his plant then he goes about making a pot but in comes the huge hand which crashes the pot and demands that the potter make a statue of itself he casts the hand out but soon it returns and him in a bird cage where he's forced to a stone hand he sets about it from but eventually the task br br in a marvellous sequence of the potter uses a candle to burn his visible puppet strings which keep him in and he escapes back home he himself in and is accidentally killed by his own beloved plant when it falls on his head br br this movie doesn't hide the fact it's pure animation unlike modern movies that to be realistic why the hand for instance is clearly someone's hand in a everything else is clay strings are visible and are part of the narrative making it a of the movie strings the atmosphere is eerie that hand going after the little potter managed to more dread in me than many horror movies combined br br the movie is obvious but it avoids being totally manipulative for its simplicity it's a fable about artistic freedom and which can't help winning the heart and mind of anyone who holds freedom as a natural right,discovery cinema jan opened eyes whole tradition czech animation one finest technically impressive animated movies ever seen br br potter wakes waters plant goes making pot comes huge hand crashes pot demands potter make statue casts hand soon returns bird cage forced stone hand sets eventually task br br marvellous sequence potter uses candle burn visible puppet strings keep escapes back home accidentally killed beloved plant falls head br br movie hide fact pure animation unlike modern movies realistic hand instance clearly someone's hand everything else clay strings visible part narrative making movie strings atmosphere eerie hand going little potter managed dread many horror movies combined br br movie obvious avoids totally manipulative simplicity fable artistic freedom can't help winning heart mind anyone holds freedom natural right,1
<START> when i first saw this film i thought it was going to be a good sasquatch film usually when you have these types of movies there's generally one sasquatch but in this one there is like what 7 or 10 of them acting was good plot was ok i liked the scenes where the sasquatch is killing the first few victims very good camera work i was expecting it to be a gory film but it was very little this movie was way better than sasquatch the sci fi channel really needs to make more sasquatch films i mean i really liked sasquatch mountain <UNK> was not good the one i'm reviewing is ok but the movie sasquatch was not but i'm not reviewing that so let me get back on track this movie is good for a rainy <UNK> afternoon but for any other occasions no,when i first saw this film i thought it was going to be a good sasquatch film usually when you have these types of movies there's generally one sasquatch but in this one there is like what or of them acting was good plot was ok i liked the scenes where the sasquatch is killing the first few victims very good camera work i was expecting it to be a gory film but it was very little this movie was way better than sasquatch the sci fi channel really needs to make more sasquatch films i mean i really liked sasquatch mountain was not good the one i'm reviewing is ok but the movie sasquatch was not but i'm not reviewing that so let me get back on track this movie is good for a rainy afternoon but for any other occasions no,first saw film thought going good sasquatch film usually types movies there's generally one sasquatch one like acting good plot ok liked scenes sasquatch killing first victims good camera work expecting gory film little movie way better sasquatch sci fi channel really needs make sasquatch films mean really liked sasquatch mountain good one reviewing ok movie sasquatch reviewing let get back track movie good rainy afternoon occasions,0
<START> the only kung fu epic worth watching the best training ever the main character spending a hundred day's on his knees outside the shaolin temple show how desperate he is to learn kung fu to fight the <UNK> dogs who have taken over china,the only kung fu epic worth watching the best training ever the main character spending a hundred day's on his knees outside the shaolin temple show how desperate he is to learn kung fu to fight the dogs who have taken over china,kung fu epic worth watching best training ever main character spending hundred day's knees outside shaolin temple show desperate learn kung fu fight dogs taken china,1
<START> it wasn't good the characters were underdeveloped and the only personality were from the memories i had of the previous movie which <UNK> with the <UNK> personalities or lack thereof i seriously thought the opening scene was a nightmare by ariel because of how absurd it was it was serious it just reminded me of all the annoying characters on the disney channel everyone is <UNK> and the story jumps from action to embarrassing scenes without any really connection br br the most disappointing part was the horrible songs not catchy not amazing in the original ariel had an amazing and powerful voice and all the song are catchy and fun you remember them and want to sing them but the songs in this movie weren't creative in the least it's as if they're talking in a annoying sing song voice quite <UNK> disappointing i don't have that want to sing them feeling you normally get from a disney movie br br it's as if not one wanted to do this movie so they barely made an effort this movie would needs a new story line new catchy songs and more warmth and enthusiasm without the annoying look at me look at me i'm so annoying mentality of this generation of disney ',it wasn't good the characters were underdeveloped and the only personality were from the memories i had of the previous movie which with the personalities or lack thereof i seriously thought the opening scene was a nightmare by ariel because of how absurd it was it was serious it just reminded me of all the annoying characters on the disney channel everyone is and the story jumps from action to embarrassing scenes without any really connection br br the most disappointing part was the horrible songs not catchy not amazing in the original ariel had an amazing and powerful voice and all the song are catchy and fun you remember them and want to sing them but the songs in this movie weren't creative in the least it's as if they're talking in a annoying sing song voice quite disappointing i don't have that want to sing them feeling you normally get from a disney movie br br it's as if not one wanted to do this movie so they barely made an effort this movie would needs a new story line new catchy songs and more warmth and enthusiasm without the annoying look at me look at me i'm so annoying mentality of this generation of disney ',good characters underdeveloped personality memories previous movie personalities lack thereof seriously thought opening scene nightmare ariel absurd serious reminded annoying characters disney channel everyone story jumps action embarrassing scenes without really connection br br disappointing part horrible songs catchy amazing original ariel amazing powerful voice song catchy fun remember want sing songs movie creative least talking annoying sing song voice quite disappointing want sing feeling normally get disney movie br br one wanted movie barely made effort movie would needs new story line new catchy songs warmth enthusiasm without annoying look look annoying mentality generation disney ',0
<START> i wasn't really hoping for much when i went to see this after <UNK> the heck out of <UNK> with some friends though i was hoping for a similar experience here br br unfortunately the movie took itself way too seriously do i care about <UNK> problems i'm sorry no there are a legion <UNK> movies that cover that anyway at at then end of the day he's an undead serial killer i'm just not going to get that sympathetic br br freddy was by far the most interesting aspect of the movie with the hallucinations and what not but unfortunately they were few and far between and by the end of the movie it had <UNK> into a bad episode of celebrity <UNK> only not funny br br,i wasn't really hoping for much when i went to see this after the heck out of with some friends though i was hoping for a similar experience here br br unfortunately the movie took itself way too seriously do i care about problems i'm sorry no there are a legion movies that cover that anyway at at then end of the day he's an undead serial killer i'm just not going to get that sympathetic br br freddy was by far the most interesting aspect of the movie with the hallucinations and what not but unfortunately they were few and far between and by the end of the movie it had into a bad episode of celebrity only not funny br br,really hoping much went see heck friends though hoping similar experience br br unfortunately movie took way seriously care problems sorry legion movies cover anyway end day undead serial killer going get sympathetic br br freddy far interesting aspect movie hallucinations unfortunately far end movie bad episode celebrity funny br br,0
<START> a film that deserved theatrical release this made for television movie is a cinematic gem that <UNK> the technique of michael mann with stirring contemporary music tightly integrated to the visual images always with mr mann the of impact by the music is almost as if there is an invisible academy award winning actor added to the ensemble of cast writer director and cinematographer br br this film is definitely one of my all time favorites while nothing is perfect this film comes very very close br br along with an excellent script great direction and masterful acting by richard <UNK> there is an all star ensemble of character actors at their finest roger <UNK> brian <UNK> ed <UNK> geoffrey lewis richard <UNK> <UNK> william prince burton <UNK> <UNK> richard <UNK> and billy green bush you may not recognize the names but you will recognize every face br br if this comes on tv sit down with popcorn turn up the sound for an amazing soundtrack and score and prepare to be <UNK> for the <UNK> minutes of the film i highly recommend recording it since it is only available on vhs and dvd from holland and the dvd is region 2 <UNK>,a film that deserved theatrical release this made for television movie is a cinematic gem that the technique of michael mann with stirring contemporary music tightly integrated to the visual images always with mr mann the of impact by the music is almost as if there is an invisible academy award winning actor added to the ensemble of cast writer director and cinematographer br br this film is definitely one of my all time favorites while nothing is perfect this film comes very very close br br along with an excellent script great direction and masterful acting by richard there is an all star ensemble of character actors at their finest roger brian ed geoffrey lewis richard william prince burton richard and billy green bush you may not recognize the names but you will recognize every face br br if this comes on tv sit down with popcorn turn up the sound for an amazing soundtrack and score and prepare to be for the minutes of the film i highly recommend recording it since it is only available on vhs and dvd from holland and the dvd is region,film deserved theatrical release made television movie cinematic gem technique michael mann stirring contemporary music tightly integrated visual images always mr mann impact music almost invisible academy award winning actor added ensemble cast writer director cinematographer br br film definitely one time favorites nothing perfect film comes close br br along excellent script great direction masterful acting richard star ensemble character actors finest roger brian ed geoffrey lewis richard william prince burton richard billy green bush may recognize names recognize every face br br comes tv sit popcorn turn sound amazing soundtrack score prepare minutes film highly recommend recording since available vhs dvd holland dvd region,1
<START> five years after the us civil war western folk are more concerned with the age old war between and cattle <UNK> the <UNK> herd their <UNK> from texas to the trail town of kansas there the <UNK> find not only big money but also big confrontation with tall in the <UNK> <UNK> randolph scott as dan mitchell tries to keep peace in the town mr scott has experience between trail hands and saloon <UNK> he also <UNK> the town's finest looking women sexy saloon singer ann <UNK> as rita and pretty church lady <UNK> <UNK> as <UNK> <UNK> county sheriff edgar <UNK> as bravo <UNK> offers more comic relief than sharp shooting assistance br br town begins with some promising symbolism and contrast <UNK> <UNK> scott and ms <UNK> singing a <UNK> in church then the camera switches to ms <UNK> <UNK> singing her saloon number which causes a man to fire his gun in pleasure after that it really becomes quite a standard western it is somehow <UNK> than it should be but not quite awful young lloyd bridges appears as one of the <UNK> costume is the film's greatest asset in it she is a real <UNK> br br town 1 11 <UNK> <UNK> l <UNK> randolph scott ann <UNK> edgar <UNK>,five years after the us civil war western folk are more concerned with the age old war between and cattle the herd their from texas to the trail town of kansas there the find not only big money but also big confrontation with tall in the randolph scott as dan mitchell tries to keep peace in the town mr scott has experience between trail hands and saloon he also the town's finest looking women sexy saloon singer ann as rita and pretty church lady as county sheriff edgar as bravo offers more comic relief than sharp shooting assistance br br town begins with some promising symbolism and contrast scott and ms singing a in church then the camera switches to ms singing her saloon number which causes a man to fire his gun in pleasure after that it really becomes quite a standard western it is somehow than it should be but not quite awful young lloyd bridges appears as one of the costume is the film's greatest asset in it she is a real br br town l randolph scott ann edgar,five years us civil war western folk concerned age old war cattle herd texas trail town kansas find big money also big confrontation tall randolph scott dan mitchell tries keep peace town mr scott experience trail hands saloon also town's finest looking women sexy saloon singer ann rita pretty church lady county sheriff edgar bravo offers comic relief sharp shooting assistance br br town begins promising symbolism contrast scott ms singing church camera switches ms singing saloon number causes man fire gun pleasure really becomes quite standard western somehow quite awful young lloyd bridges appears one costume film's greatest asset real br br town l randolph scott ann edgar,0
<START> definitely worth renting good clean family entertainment my 4 and 5 year olds and i loved it kept them on the edge of their seats i recommend parents sit with their younger children to watch this as it can be quite suspenseful for them it's not too often you can find movies that you can watch with your children and so this is a rare find some of the acting realism isn't quite there at times or maybe is a little corny but children don't seem to notice or care they love it parts are predictable but other parts are not like trying to figure out who the good guys are and who the bad guys are the movie doesn't have any really scary creepy stuff and so i doubt it will give children nightmares it does inspire children to dream which is something we need to encourage and foster more in our children rent and be blessed,definitely worth renting good clean family entertainment my and year olds and i loved it kept them on the edge of their seats i recommend parents sit with their younger children to watch this as it can be quite suspenseful for them it's not too often you can find movies that you can watch with your children and so this is a rare find some of the acting realism isn't quite there at times or maybe is a little corny but children don't seem to notice or care they love it parts are predictable but other parts are not like trying to figure out who the good guys are and who the bad guys are the movie doesn't have any really scary creepy stuff and so i doubt it will give children nightmares it does inspire children to dream which is something we need to encourage and foster more in our children rent and be blessed,definitely worth renting good clean family entertainment year olds loved kept edge seats recommend parents sit younger children watch quite suspenseful often find movies watch children rare find acting realism quite times maybe little corny children seem notice care love parts predictable parts like trying figure good guys bad guys movie really scary creepy stuff doubt give children nightmares inspire children dream something need encourage foster children rent blessed,1
<START> the treasure island dvd should be required viewing in any film production course it's a <UNK> example of how not to make a movie watching the movie and then listening to the writer director's commentary demonstrates <UNK> the vast <UNK> between what he knows about the characters and what he <UNK> to his audience about them call me old fashioned but i think of movies as a means of communication and communication isn't complete if the audience doesn't know what the hell the director is talking about the director's <UNK> purpose is to make a movie void of hollywood conventions among those conventions alas is <UNK> of character and clarity of concept the director himself realizes that audiences often don't understand points where he has <UNK> avoided a hollywood cliché however he never seems to grasp the idea that clichés exist for a reason they are <UNK> for conveying complex ideas quickly and clearly it's fine to avoid them but they need to be replaced with some other way of <UNK> the same idea not simply eliminated the film is built on an intriguing premise rich with potential two puppets are assigned to <UNK> a personality and background for an <UNK> corpse that is to be used in a <UNK> mission in the closing days of wwii soon each begins to <UNK> their personal fantasies with the character and their invention becomes increasingly real to them someone with less disdain for the hollywood convention of traditional storytelling could create a wonderful film with this idea this film certainly isn't it the puppets do everything they can to bring <UNK> to these characters but they are all too often defeated by the <UNK> and confused script in particular i'm becoming increasingly impressed by <UNK> who plays the lively corpse in a number of muppet films he always stands out as a very charismatic puppet,the treasure island dvd should be required viewing in any film production course it's a example of how not to make a movie watching the movie and then listening to the writer director's commentary demonstrates the vast between what he knows about the characters and what he to his audience about them call me old fashioned but i think of movies as a means of communication and communication isn't complete if the audience doesn't know what the hell the director is talking about the director's purpose is to make a movie void of hollywood conventions among those conventions alas is of character and clarity of concept the director himself realizes that audiences often don't understand points where he has avoided a hollywood clich however he never seems to grasp the idea that clich s exist for a reason they are for conveying complex ideas quickly and clearly it's fine to avoid them but they need to be replaced with some other way of the same idea not simply eliminated the film is built on an intriguing premise rich with potential two puppets are assigned to a personality and background for an corpse that is to be used in a mission in the closing days of wwii soon each begins to their personal fantasies with the character and their invention becomes increasingly real to them someone with less disdain for the hollywood convention of traditional storytelling could create a wonderful film with this idea this film certainly isn't it the puppets do everything they can to bring to these characters but they are all too often defeated by the and confused script in particular i'm becoming increasingly impressed by who plays the lively corpse in a number of muppet films he always stands out as a very charismatic puppet,treasure island dvd required viewing film production course example make movie watching movie listening writer director's commentary demonstrates vast knows characters audience call old fashioned think movies means communication communication complete audience know hell director talking director's purpose make movie void hollywood conventions among conventions alas character clarity concept director realizes audiences often understand points avoided hollywood clich however never seems grasp idea clich exist reason conveying complex ideas quickly clearly fine avoid need replaced way idea simply eliminated film built intriguing premise rich potential two puppets assigned personality background corpse used mission closing days wwii soon begins personal fantasies character invention becomes increasingly real someone less disdain hollywood convention traditional storytelling could create wonderful film idea film certainly puppets everything bring characters often defeated confused script particular becoming increasingly impressed plays lively corpse number muppet films always stands charismatic puppet,0
<START> and i'll tell you why whoever decided to edit this movie to make it suitable for television was very ill advised everything concerning drugs is cut out and covered up how do they do it you might ask well they don't do it very well that's for sure anyway instead of the marijuana which cheech and chong are supposed to have in their possession they are said to have <UNK> still the characters go around in a <UNK> of marijuana smoke <UNK> others along their way with no explanation whatsoever,and i'll tell you why whoever decided to edit this movie to make it suitable for television was very ill advised everything concerning drugs is cut out and covered up how do they do it you might ask well they don't do it very well that's for sure anyway instead of the marijuana which cheech and chong are supposed to have in their possession they are said to have still the characters go around in a of marijuana smoke others along their way with no explanation whatsoever,tell whoever decided edit movie make suitable television ill advised everything concerning drugs cut covered might ask well well that's sure anyway instead marijuana cheech chong supposed possession said still characters go around marijuana smoke others along way explanation whatsoever,1
<START> when i rented this movie i half expected it to be a low budget plot less <UNK> film but thought i'd give it a try i started watching part 1 and couldn't pull myself away till it ended 3 hours later it was by far one of my absolute favorite films of all time from the writing to the directing to the performances i was laughing crying and singing all the way through <UNK> <UNK> of passage from innocence to <UNK> <UNK> <UNK> is phenomenal in this film i had never heard of her before but now i will forever remember the vulnerability and strength i felt in her performance she <UNK> and may are incredible as they guide you through the emotional <UNK> that most feel as they deal with an alternate form of sexuality the fact that the film is set in the <UNK> not only <UNK> the audience about homosexuality in that time period but makes a statement about our society today you must see this film and probably like myself you'll be making a trip to the store to add it to your collection,when i rented this movie i half expected it to be a low budget plot less film but thought i'd give it a try i started watching part and couldn't pull myself away till it ended hours later it was by far one of my absolute favorite films of all time from the writing to the directing to the performances i was laughing crying and singing all the way through of passage from innocence to is phenomenal in this film i had never heard of her before but now i will forever remember the vulnerability and strength i felt in her performance she and may are incredible as they guide you through the emotional that most feel as they deal with an alternate form of sexuality the fact that the film is set in the not only the audience about homosexuality in that time period but makes a statement about our society today you must see this film and probably like myself you'll be making a trip to the store to add it to your collection,rented movie half expected low budget plot less film thought give try started watching part pull away till ended hours later far one absolute favorite films time writing directing performances laughing crying singing way passage innocence phenomenal film never heard forever remember vulnerability strength felt performance may incredible guide emotional feel deal alternate form sexuality fact film set audience homosexuality time period makes statement society today must see film probably like making trip store add collection,1
<START> prime suspect 4 continues the exploits of the <UNK> and <UNK> <UNK> of truth and justice detective <UNK> jane the first of three miniseries with the notable absence of <UNK> writer <UNK> la <UNK> from the credits <UNK> with the same gritty reality of the first three series the second three series pit against the forces of evil while <UNK> with middle age loneliness <UNK> a host of personal and professional problems and <UNK> which are sometimes less than ideal <UNK> two stories while are single episodes each which find seeking justice on behalf of the brutally <UNK> while <UNK> war against <UNK> which are willing to sacrifice the interests of her victims for those of a greater good in other words to <UNK> must overcome both evil and good forces something which makes the always gray scenarios of the ps series yet and the wars as much a matter of principle as of finding murderers very good stuff which only gets better from series to series b,prime suspect continues the exploits of the and of truth and justice detective jane the first of three miniseries with the notable absence of writer la from the credits with the same gritty reality of the first three series the second three series pit against the forces of evil while with middle age loneliness a host of personal and professional problems and which are sometimes less than ideal two stories while are single episodes each which find seeking justice on behalf of the brutally while war against which are willing to sacrifice the interests of her victims for those of a greater good in other words to must overcome both evil and good forces something which makes the always gray scenarios of the ps series yet and the wars as much a matter of principle as of finding murderers very good stuff which only gets better from series to series b,prime suspect continues exploits truth justice detective jane first three miniseries notable absence writer la credits gritty reality first three series second three series pit forces evil middle age loneliness host personal professional problems sometimes less ideal two stories single episodes find seeking justice behalf brutally war willing sacrifice interests victims greater good words must overcome evil good forces something makes always gray scenarios ps series yet wars much matter principle finding murderers good stuff gets better series series b,1
<START> this <UNK> eye special was <UNK> by complaints more on that later when it was broadcast in 2001 following a national debate around a possible sarah s law following the <UNK> and murder of school girl sarah payne in fact it s <UNK> was <UNK> while phil collins took legal advice after he found out he d been fooled by the show s maker chris morris into a starting a campaign entitled sense br br if truth be told this show is probably more remembered for the controversy than the content which is in very poor taste but i do confess that i laughed out loud the edition <UNK> around and how society treats both them and their victims chris morris plays the <UNK> who tells the audience that an infamous <UNK> has been launched into space then <UNK> that an eight year old child has accidentally been placed into the capsule along with the <UNK> cue the child s frightened screams like i said very poor taste br br other highlights of the show include dr fox giving a scientific lecture that share an identical nervous system to <UNK> no one knows this but it s a scientific fact <UNK> <UNK> barbara <UNK> giving a public warning about equipment put on their <UNK> while surfing the net and kate <UNK> warning viewers that can send gas through the internet which makes young children to sexual <UNK> including one victim who was once a shy innocent child and who now has the sexuality of a sixty year old colonel morris also shows a police officer in the child protection squad a serious of photos wanting to know if they re <UNK> as obscene the photos included <UNK> surrounded by a marital aids and a <UNK> photo featuring a young boys head a dog s body and an <UNK> penis that could only have <UNK> to john holmes hey i never said this show was <UNK> did i br br it s impossible to mention without the <UNK> fall out that surrounded it where politicians <UNK> <UNK> and policemen rushed to <UNK> the show for making fun of a very serious subject the show was poor taste despite me laughing all the way through it but it s a biting satire perhaps the critics should take a long hard look in the mirror where a liberal elite allows convicted <UNK> <UNK> to walk around the streets of britain before they <UNK> a mere tv show for tensions,this eye special was by complaints more on that later when it was broadcast in following a national debate around a possible sarah s law following the and murder of school girl sarah payne in fact it s was while phil collins took legal advice after he found out he d been fooled by the show s maker chris morris into a starting a campaign entitled sense br br if truth be told this show is probably more remembered for the controversy than the content which is in very poor taste but i do confess that i laughed out loud the edition around and how society treats both them and their victims chris morris plays the who tells the audience that an infamous has been launched into space then that an eight year old child has accidentally been placed into the capsule along with the cue the child s frightened screams like i said very poor taste br br other highlights of the show include dr fox giving a scientific lecture that share an identical nervous system to no one knows this but it s a scientific fact barbara giving a public warning about equipment put on their while surfing the net and kate warning viewers that can send gas through the internet which makes young children to sexual including one victim who was once a shy innocent child and who now has the sexuality of a sixty year old colonel morris also shows a police officer in the child protection squad a serious of photos wanting to know if they re as obscene the photos included surrounded by a marital aids and a photo featuring a young boys head a dog s body and an penis that could only have to john holmes hey i never said this show was did i br br it s impossible to mention without the fall out that surrounded it where politicians and policemen rushed to the show for making fun of a very serious subject the show was poor taste despite me laughing all the way through it but it s a biting satire perhaps the critics should take a long hard look in the mirror where a liberal elite allows convicted to walk around the streets of britain before they a mere tv show for tensions,eye special complaints later broadcast following national debate around possible sarah law following murder school girl sarah payne fact phil collins took legal advice found fooled show maker chris morris starting campaign entitled sense br br truth told show probably remembered controversy content poor taste confess laughed loud edition around society treats victims chris morris plays tells audience infamous launched space eight year old child accidentally placed capsule along cue child frightened screams like said poor taste br br highlights show include dr fox giving scientific lecture share identical nervous system one knows scientific fact barbara giving public warning equipment put surfing net kate warning viewers send gas internet makes young children sexual including one victim shy innocent child sexuality sixty year old colonel morris also shows police officer child protection squad serious photos wanting know obscene photos included surrounded marital aids photo featuring young boys head dog body penis could john holmes hey never said show br br impossible mention without fall surrounded politicians policemen rushed show making fun serious subject show poor taste despite laughing way biting satire perhaps critics take long hard look mirror liberal elite allows convicted walk around streets britain mere tv show tensions,1
<START> this is the funniest movie i have ever seen however i have laughed harder at plenty of movies this is because best in show's brilliance lies not in slapstick or one liners but in sophisticated and layered verbal wit the improvised dialogue is is so quick that you end up laughing not at each individual joke but only until after several jokes build on one another each <UNK> your senses until the jokes climax and you can't help letting loose br br it's a well shot film but what makes it extraordinary is the acting i was impressed on my first viewing but when i watched it after having learned that virtually every scene is improvised i was amazed it was thoroughly enjoyable to see the comedians work off each other build jokes out of nothing and completely <UNK> themselves in their characters br br i imagine the golden days of second city were like this,this is the funniest movie i have ever seen however i have laughed harder at plenty of movies this is because best in show's brilliance lies not in slapstick or one liners but in sophisticated and layered verbal wit the improvised dialogue is is so quick that you end up laughing not at each individual joke but only until after several jokes build on one another each your senses until the jokes climax and you can't help letting loose br br it's a well shot film but what makes it extraordinary is the acting i was impressed on my first viewing but when i watched it after having learned that virtually every scene is improvised i was amazed it was thoroughly enjoyable to see the comedians work off each other build jokes out of nothing and completely themselves in their characters br br i imagine the golden days of second city were like this,funniest movie ever seen however laughed harder plenty movies best show's brilliance lies slapstick one liners sophisticated layered verbal wit improvised dialogue quick end laughing individual joke several jokes build one another senses jokes climax can't help letting loose br br well shot film makes extraordinary acting impressed first viewing watched learned virtually every scene improvised amazed thoroughly enjoyable see comedians work build jokes nothing completely characters br br imagine golden days second city like,1
<START> <UNK> vocal performance was outstanding <UNK> played the female singer role while richard was in the club when she first step out on stage and started to riff and <UNK> her stuff it made my soul shake her voice is <UNK> she needs to make a cd she has more fans then she realizes i loved her show stopping performance in the five heart beats which she also starred with leon when she was younger how can a little girl have a voice so big she is truly amazing good voice good good good good voice voice voice voice excellent voice fantastic voice back shaking tear crying uplifting take you back in the days voice <UNK> if you read this commit please take my advice and start recording a cd if not just for the love of singing but for your fans i believe you can truly make it look at these other one hit single studio singers lol,vocal performance was outstanding played the female singer role while richard was in the club when she first step out on stage and started to riff and her stuff it made my soul shake her voice is she needs to make a cd she has more fans then she realizes i loved her show stopping performance in the five heart beats which she also starred with leon when she was younger how can a little girl have a voice so big she is truly amazing good voice good good good good voice voice voice voice excellent voice fantastic voice back shaking tear crying uplifting take you back in the days voice if you read this commit please take my advice and recording a cd if not just for the love of singing but for your fans i believe you can truly make it look at these other one hit single studio singers lol,vocal performance outstanding played female singer role richard club first step stage started riff stuff made soul shake voice needs make cd fans realizes loved show stopping performance five heart beats also starred leon younger little girl voice big truly amazing good voice good good good good voice voice voice voice excellent voice fantastic voice back shaking tear crying uplifting take back days voice read commit please take advice recording cd love singing fans believe truly make look one hit single studio singers lol,1
<START> gandhi my father is like viewing a book chapter by chapter you read it with your eyes and you learn more about harilal gandhi and for that matter <UNK> gandhi so little is known about both of them and this movie describes them uniquely the title <UNK> though its as much a movie about <UNK> <UNK> gandhi and his son as its about harilal and his mother and <UNK> <UNK> and <UNK> <UNK> do full justice to their respective roles br br such movies are like leap years they come after only so much time br br gandhi my father is also about an internal struggle which is sometimes more difficult than any freedom struggle ever <UNK> br br watch it if you like quality cinema,gandhi my father is like viewing a book chapter by chapter you read it with your eyes and you learn more about harilal gandhi and for that matter gandhi so little is known about both of them and this movie describes them uniquely the title though its as much a movie about gandhi and his son as its about harilal and his mother and and do full justice to their respective roles br br such movies are like leap years they come after only so much time br br gandhi my father is also about an internal struggle which is sometimes more difficult than any freedom struggle ever br br watch it if you like quality cinema,gandhi father like viewing book chapter chapter read eyes learn harilal gandhi matter gandhi little known movie describes uniquely title though much movie gandhi son harilal mother full justice respective roles br br movies like leap years come much time br br gandhi father also internal struggle sometimes difficult freedom struggle ever br br watch like quality cinema,1
